Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,28,10,10,35,23,20,10
First Downs,18,20,19,22,18,20,18
Rush Att,25,34,17,34,28,21,24
Rush Yds,124,139,92,271,94,121,89
Rush TDs,1,0,0,2,1,0,0
Pass Comp,21,25,26,14,28,23,25
Pass Att,31,39,46,19,38,35,40
Pass Yds,162,225,200,157,331,294,215
Pass TD,1,1,1,2,1,2,1
Pass INT,0,3,1,0,1,1,1
Sacks Taken,4,2,5,1,1,3,3
Sacked Yards,16,13,53,1,0,22,15
Net Pass Yards,146,212,147,156,331,272,200
Total Yards,270,351,239,427,425,393,289
Fumbles,1,0,1,2,1,1,4
Fumbles Lost,1,0,1,1,1,0,1
Turnovers,1,3,2,1,2,1,2
Penalties,5,7,7,8,7,11,8
Penalty Yds,31,50,45,79,65,110,52
3D Conv,7,7,2,5,8,4,6
3D Conv Yards,13,15,13,9,16,12,16
4D Conv,0,1,4,0,0,0,1
4D Conv Yards,1,5,8,0,1,0,2
Time of Possession,29:30,36:19,28:20,31:03,33:10,30:26,32:46
