MATCHUP,OffenseTeam,FINAL_SCORE
NYJ_vs_NWE,NWE,14.9996
NYJ_vs_NWE,NYJ,20.1509
NOR_vs_LAC,LAC,19.1807
NOR_vs_LAC,NOR,16.2778
BAL_vs_CLE,BAL,25.8797
BAL_vs_CLE,CLE,17.378899999999998
ABC_vs_XYZ,ABC,20.5205
ABC_vs_XYZ,XYZ,20.5205
GNB_vs_JAX,GNB,28.0896
GNB_vs_JAX,JAX,16.8861
NYG_vs_PIT,NYG,14.3836
NYG_vs_PIT,PIT,19.5118
CAR_vs_DEN,CAR,14.9072
CAR_vs_DEN,DEN,28.7749
PHI_vs_CIN,CIN,24.5322
PHI_vs_CIN,PHI,21.9604
DAL_vs_SFO,DAL,21.56
DAL_vs_SFO,SFO,24.6631
IND_vs_HOU,HOU,23.6236
IND_vs_HOU,IND,23.238599999999998
TEN_vs_DET,DET,22.7381
TEN_vs_DET,TEN,17.7947
CHI_vs_WAS,CHI,25.2714
CHI_vs_WAS,WAS,20.096999999999998
ARI_vs_MIA,ARI,20.2048
ARI_vs_MIA,MIA,15.5001
KAN_vs_LVR,KAN,24.2242
KAN_vs_LVR,LVR,17.5714
ATL_vs_TAM,ATL,23.6467
ATL_vs_TAM,TAM,25.7411
BUF_vs_SEA,BUF,26.4418
BUF_vs_SEA,SEA,23.6313
MIN_vs_LAR,LAR,17.0863
MIN_vs_LAR,MIN,26.18
